OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
1,47,Good,PM2.5,9,Juniper, Maple,2025/04/04 05:00:00+00
2,49,Good,PM2.5,1,Elm, Juniper,2025/04/03 05:00:00+00
3,51,Moderate,PM2.5,11,Elm, Juniper,2025/04/02 05:00:00+00
4,50,Good,PM2.5,10,Elm, Juniper,2025/04/01 05:00:00+00
5,50,Good,PM2.5,2,Elm, Juniper,2025/03/31 05:00:00+00
6,55,Moderate,PM2.5,8,Elm, Juniper,2025/03/30 05:00:00+00
7,64,Moderate,PM2.5,9,Elm, Juniper,2025/03/29 05:00:00+00
8,60,Moderate,PM2.5,9,Elm, Juniper,2025/03/28 05:00:00+00
9,51,Moderate,PM2.5,,,Not on file,2025/03/27 05:00:00+00
10,50,Good,PM2.5,,,Not on file,2025/03/26 05:00:00+00
11,50,Good,PM2.5,,,Not on file,2025/03/25 05:00:00+00
12,50,Good,PM2.5,,,Not on file,2025/03/24 05:00:00+00
13,50,Good,PM2.5,,,Not on file,2025/03/23 05:00:00+00
14,49,Good,PM2.5,6,Juniper, Maple,2025/03/22 05:00:00+00
15,47,Good,PM2.5,6,Juniper, Maple,2025/03/21 05:00:00+00
16,49,Good,PM2.5,6,Juniper, Maple,2025/03/20 05:00:00+00
17,53,Moderate,PM2.5,10,Juniper, Maple,2025/03/19 05:00:00+00
18,53,Moderate,PM2.5,10,Juniper, Maple,2025/03/18 05:00:00+00
19,50,Good,PM2.5,9,Juniper, Maple,2025/03/17 05:00:00+00
20,99,Moderate,PM2.5,5,Juniper, Maple,2025/03/16 05:00:00+00
21,50,Good,PM2.5,1,Juniper, Maple,2025/03/15 05:00:00+00
22,53,Moderate,PM2.5,11,Juniper, Maple,2025/03/14 05:00:00+00
23,53,Moderate,PM2.5,8,Alder, Juniper,2025/03/13 05:00:00+00
24,53,Moderate,PM2.5,10,Alder, Juniper,2025/03/12 05:00:00+00
25,49,Good,PM2.5,9,Alder, Juniper,2025/03/11 05:00:00+00
26,49,Good,PM2.5,9,Alder, Juniper,2025/03/10 05:00:00+00
27,47,Good,PM2.5,9,Alder, Juniper,2025/03/09 06:00:00+00
28,47,Good,PM2.5,9,Alder, Juniper,2025/03/08 06:00:00+00
29,50,Good,PM2.5,9,Alder, Juniper,2025/03/07 06:00:00+00
30,45,Good,Ozone 8-hr,7,Alder, Juniper,2025/03/06 06:00:00+00
31,45,Good,Ozone 8-hr,4,Alder, Juniper,2025/03/05 06:00:00+00
32,50,Good,PM2.5,7,Alder, Juniper,2025/03/04 06:00:00+00
33,47,Good,PM2.5,6,Alder, Juniper,2025/03/03 06:00:00+00
34,32,Good,PM2.5,6,Alder, Juniper,2025/03/02 06:00:00+00
35,39,Good,PM2.5,7,Alder, Juniper,2025/03/01 06:00:00+00
36,47,Good,PM2.5,,,Not on file,2025/02/28 06:00:00+00
37,49,Good,PM2.5,,,Not on file,2025/02/27 06:00:00+00
38,51,Moderate,PM2.5,,,Not on file,2025/02/26 06:00:00+00
39,56,Moderate,PM2.5,,,Not on file,2025/02/25 06:00:00+00
40,52,Moderate,PM2.5,,,Not on file,2025/02/24 06:00:00+00
41,53,Moderate,PM2.5,,,Not on file,2025/02/23 06:00:00+00
42,51,Moderate,PM2.5,,,Not on file,2025/02/22 06:00:00+00
43,47,Good,PM2.5,,,Not on file,2025/02/21 06:00:00+00
44,50,Good,PM2.5,,,Not on file,2025/02/20 06:00:00+00
45,44,Good,PM2.5,,,Not on file,2025/02/19 06:00:00+00
46,43,Good,PM2.5,,,Not on file,2025/02/18 06:00:00+00
47,44,Good,PM2.5,,,Not on file,2025/02/17 06:00:00+00
48,51,Moderate,PM2.5,,,Not on file,2025/02/16 06:00:00+00
49,49,Good,PM2.5,,,Not on file,2025/02/15 06:00:00+00
50,49,Good,PM2.5,,,Not on file,2025/02/14 06:00:00+00
51,51,Moderate,PM2.5,,,Not on file,2025/02/13 06:00:00+00
52,39,Good,PM2.5,,,Not on file,2025/02/12 06:00:00+00
53,52,Moderate,PM2.5,,,Not on file,2025/02/11 06:00:00+00
